Scaled scores for each subject (/20),A++/Merit,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E+,E,E-
Accounting,19.7,19.3,18.7,17.7,16.7,15.8,13.9,12.1,11,10,9,8,7,6,5,4
Ancient Studies,19.3,19,18.5,17.8,16.6,15.4,14.4,13,11,10,9,8,7,6,5,4
Art,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Biology,19.8,19.5,18.9,17.9,16.8,15.9,14.8,13.2,11.9,10,9,8,7,6,5,4
Business Innovation,19.6,19.2,18.5,17.2,16.5,15.4,13.3,12.2,11.1,10,9,8,7,6,5,4
Chemistry,20,19.6,18.9,18,17.2,16.1,14.8,13.2,11.9,10,9,8,7,6,5,4
Dance,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Design,19.3,19,18.5,17.8,16.6,15.4,14.4,13,11,10,9,8,7,6,5,4
Digital Tech,19.3,19,18.5,17.8,16.6,15.4,14.4,13,11,10,9,8,7,6,5,4
Drama,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
EAL,19.3,19,18.5,17.8,16.6,15.4,14.4,13,11,10,9,8,7,6,5,4
Economics,19.5,19.2,18.5,17.2,16.5,15.4,13.3,12.2,11.1,10,9,8,7,6,5,4
English,19.5,19.2,18.5,17.2,16.5,15.4,13.3,12.2,11.1,10,9,8,7,6,5,4
English Literary Studies,19.8,19.3,18.6,17.3,16.6,15.5,13.4,12.3,11.2,10,9,8,7,6,5,4
Essential Mathematics,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Film Studies,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Geography,19.5,19.2,18.5,17.2,16.5,15.4,13.3,12.2,11.1,10,9,8,7,6,5,4
General Mathematics,19.6,19.3,18.6,17.6,16.5,15.6,14.5,12.9,11.6,10,9,8,7,6,5,4
Health and Wellbeing,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Languages,19.3,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Legal Studies,19.6,19.2,18.5,17.2,16.5,15.4,13.3,12.2,11.1,10,9,8,7,6,5,4
Mathematical Methods,19.9,19.6,18.9,17.9,16.8,15.9,14.8,13.2,11.9,10,9,8,7,6,5,4
Modern History,19.3,19,18.5,17.8,16.6,15.4,14.4,13,11,10,9,8,7,6,5,4
Music Explorations,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Music Studies,19.3,19,18.5,17.8,16.6,15.4,14.4,13,11,10,9,8,7,6,5,4
Philosophy,19.3,19,18.5,17.8,16.6,15.4,14.4,13,11,10,9,8,7,6,5,4
Physical Education,19.2,18.9,17.5,16.5,15,14,13,12,11,10,9,8,7,6,5,4
Physics,19.9,19.5,18.9,17.9,17.1,16.1,14.8,13.2,11.9,10,9,8,7,6,5,4
Psychology,19.5,19.2,18.5,17.2,16.5,15.4,13.3,12.2,11.1,10,9,8,7,6,5,4
Religion,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Scientific Studies,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Society and Culture,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Specialist Mathematics,19.9,19.6,19,18.1,17.3,16.1,14.8,13.2,11.9,10,9,8,7,6,5,4
Tourism,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
Workplace Practices,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Scaled scores for each subject (/10),A++/Merit,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E+,E,E-
Music Ensemble,9.5,9,8.5,8,7.5,7,6.5,6,5.5,5,4.5,4,3.5,3,2.5,2
Music Performance,9.5,9,8.5,8,7.5,7,6.5,6,5.5,5,4.5,4,3.5,3,2.5,2
Research Project,9.8,9.5,9,8.5,8,7.5,7,6.5,6,5,4.5,4,3.5,3,2.5,2
AIF,9.8,9.5,9,8.5,8,7.5,7,6.5,6,5,4.5,4,3.5,3,2.5,2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Scaled scores for HEADSTART (/20),HD,D,C,P,,,,,,,,,,,,
Headstart,20,19.8,18,15.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VET,AVERAGE OF OTHER SCORES!,,,,,,,,,,,,,,,